time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
501150,9600,7381582.0838211,4.4619681501295e-51,5320112.4670368,9.3911750033513e-54,6715925.6044355,5593751.2472361
510750,9600,7381578.3546778,-2.5872300177713e-52,5320117.1475926,-5.3865989330032e-55,6715923.694432,5593752.205886
520350,9600,7381579.1978031,-2.9990966898184e-53,5320117.1150885,-6.2982113869887e-56,6715921.909622,5593753.1798516
529950,9600,7381584.8308582,7.5519660710272e-55,5320112.1664739,1.5598067657139e-57,6715920.2987917,5593754.1058074
539550,9600,7381595.2415444,1.8014136358319e-55,5320102.3267931,3.7766911306495e-58,6715918.8743853,5593754.958627
549150,9600,7381610.2498037,-1.8011640023647e-58,5320087.7874401,-2.4770769834179e-61,6715917.626274,5593755.7371572
558750,9600,7381629.5619956,-9.8711564598488e-58,5320068.8522776,-2.0663582759391e-60,6715916.5317279,5593756.4539491
568350,9600,7381652.8153512,-2.0613012809764e-59,5320045.8933713,-4.3858410350244e-62,6715915.5622889,5593757.1281971
577950,9600,7381679.6126456,4.9382696249776e-60,5320019.3164379,1.0320562594215e-62,6715914.688255,5593757.7811365
587550,9600,7381709.5479678,2.2060057508606e-61,5319989.5351526,4.6527731415504e-64,6715913.8814093,5593758.4332374
597150,9600,7381742.2249137,-2.2141858148248e-62,5319956.9530113,-4.6176099364951e-65,6715913.1165135,5593759.1026581
606750,9600,7381777.2686464,-1.6893327525783e-63,5319921.9513118,-3.5514146345964e-66,6715912.3719716,5593759.8045402
616350,9600,7381814.3332,8.3985276733297e-65,5319884.8818881,1.7450553303723e-67,6715911.629963,5593760.5508403
625950,9600,7381853.105233,1.1066343883711e-65,5319846.0633918,2.3218327240236e-68,6715910.8762587,5593761.3504781
635550,9600,7381893.3052361,-2.1671998441946e-67,5319805.7801199,-4.4531111870118e-70,6715910.0998683,5593762.2096553
645150,9600,7381934.6869931,-6.5207461963041e-68,5319764.2825905,-1.3660045810957e-70,6715909.2926136,5593763.1322464
654750,9600,7381977.0359086,-2.4248578885764e-70,5319721.7892508,-5.556808530288e-73,6715908.448689,5593764.1202027
664350,9600,7382020.1666615,3.510352631412e-70,5319678.4888601,7.3429486599455e-73,6715907.5642439,5593765.1739329
673950,9600,7382063.9205137,9.0056049601509e-72,5319634.5432173,1.9103201592668e-74,6715906.6370064,5593766.2926453
683550,9600,7382108.162504,-1.7215065011093e-72,5319590.0900006,-3.5950949004734e-75,6715905.6659545,5593767.4746411
693150,9600,7382152.7786824,-8.6886101089702e-74,5319545.2455668,-1.8306776424418e-76,6715904.6510374,5593768.7175612
702750,9600,7382197.6734821,7.5086657233851e-75,5319500.1076104,1.564459245456e-77,6715903.5929425,5593770.0185875
712350,9600,7382242.7672862,6.3920870557339e-76,5319454.7576257,1.3429394447499e-78,6715902.4929052,5593771.3746044
721950,9600,7382287.9942174,-2.7060390353898e-77,5319409.2631438,-5.6135422136036e-80,6715901.3525548,5593772.7823258
731550,9600,7382333.3001612,-4.0862787981669e-78,5319363.6797345,-8.5692464027671e-81,6715900.1737917,5593774.2383938
741150,9600,7382378.6410156,5.8533775469581e-80,5319318.0527784,1.1939283100778e-82,6715898.9586906,5593775.7394527
750750,9600,7382423.981159,2.3619657169423e-80,5319272.4190201,4.9458219383018e-83,6715897.7094249,5593777.2822043
760350,9600,7382469.2921164,1.9672193661925e-82,5319226.8079194,4.2930633812296e-85,6715896.4282092,5593778.8634476
769950,9600,7382514.551408,-1.2482776276169e-82,5319181.2428194,-2.6099874243309e-85,6715895.1172551,5593780.4801061
779550,9600,7382559.7415595,-3.8063089600089e-84,5319135.741951,-8.0569195930145e-87,6715893.7787385,5593782.1292458
789150,9600,7382604.8492561,5.9920619132903e-85,5319090.3192916,1.2506939706262e-87,6715892.4147762,5593783.8080859
798750,9600,7382649.8646213,3.3918870828746e-86,5319044.985298,7.1410728873558e-89,6715891.0274095,5593785.5140042
808350,9600,7382694.7806063,-2.5341538492298e-87,5318999.7475272,-5.2759233173053e-90,6715889.6185921,5593787.2445375
817950,9600,7382739.5924727,-2.4088950227234e-88,5318954.6111623,-5.0585541317731e-91,6715888.190184,5593788.9973803
827550,9600,7382784.2973577,8.5862651050805e-90,5318909.5794558,1.7780711659445e-92,6715886.7439476,5593790.77038
837150,9600,7382828.8939086,1.504933182969e-90,5318864.6541017,3.1548036530397e-93,6715885.2815462,5593792.5615312
846750,9600,7382873.3819765,-1.4027037425783e-92,5318819.8355476,-2.8207760153642e-95,6715883.8045447,5593794.3689696
856350,9600,7382917.762362,-8.5354812272382e-93,5318775.1232554,-1.7866749138545e-95,6715882.3144116,5593796.1909642
865950,9600,7382962.0366025,-1.1001333277218e-94,5318730.5159171,-2.3659812715742e-97,6715880.8125217,5593798.0259098
875550,9600,7383006.2067972,4.4264301365801e-95,5318686.0116354,9.2517017624359e-98,6715879.3001598,5593799.8723196
885150,9600,7383050.2754623,1.5697940655548e-96,5318641.608071,3.3174559900601e-99,6715877.7785247,5593801.7288174
894750,9600,7383094.2454124,-2.0769555369244e-97,5318597.3025652,-4.3330698229335e-100,6715876.2487332,5593803.5941305
904350,9600,7383138.1196632,-1.3126702386436e-98,5318553.0922388,-2.7617897934593e-101,6715874.7118247,5593805.4670824
913950,9600,7383181.9013537,8.4853916212689e-100,5318508.9740734,1.7651866900958e-102,6715873.1687657,5593807.3465861
923550,9600,7383225.5936823,9.0337512500632e-101,5318464.9449768,1.8962583871822e-103,6715871.6204535,5593809.2316376
933150,9600,7383269.1998567,-2.6637941831154e-102,5318421.0018346,-5.5041812823586e-105,6715870.0677214,5593811.1213102
942750,9600,7383312.7230543,-5.5223469580326e-103,5318377.1415525,-1.1572747336704e-105,6715868.5113421,5593813.0147484
952350,9600,7383356.1663905,2.4863592080188e-105,5318333.3610877,4.783143277789e-108,6715866.9520317,5593814.9111626
961950,9600,7383399.5328958,3.0740332630302e-105,5318289.6574744,6.4326568355324e-108,6715865.3904539,5593816.8098247
971550,9600,7383442.8254979,5.3644186425915e-107,5318246.0278423,1.1455052881688e-109,6715863.8272231,5593818.7100627
981150,9600,7383486.0470089,-1.5635659898892e-107,5318202.4694302,-3.2668599761672e-110,6715862.262908,5593820.6112572
990750,9600,7383529.2001164,-6.3533486609159e-109,5318158.9795953,-1.3409449952017e-111,6715860.6980348,5593822.5128366
1000350,9600,7383572.2873787,7.1600360576055e-110,5318115.5558196,1.4930384842268e-112,6715859.1330901,5593824.4142743
1009950,9600,7383615.3112213,5.0402042671794e-111,5318072.1957133,1.0598181964721e-113,6715857.5685237,5593826.3150847
1019550,9600,7383658.2739367,-2.8127304334396e-112,5318028.8970158,-5.8459240006146e-115,6715856.0047513,5593828.21482
1029150,9600,7383701.1776852,-3.3712717115337e-113,5317985.6575951,-7.0738913966923e-116,6715854.442157,5593830.1130678
1038750,9600,7383744.0244971,8.0063254992015e-115,5317942.4754465,1.649336727128e-117,6715852.8810954,5593832.0094479
1043550,4800,7383765.4270091,1.4728534541696e-115,5317920.9053979,3.0805475606657e-118,6715852.1012189,5593832.9568524
1048350,4800,7383786.8159442,-2.2754078422377e-117,5317899.3490179,-4.4876619625874e-120,6715851.3218385,5593833.9036688
1053150,4800,7383808.1915634,-1.6826784515029e-117,5317877.8060485,-3.5077216961266e-120,6715850.5429984,5593834.8498502
